Ticker,Date,Open,High,Low,Close,Adj Close,Volume
^NYA,2015-01-02,10859.7998046875,10889.25,10770.509765625,10830.919921875,10830.919921875,2708700000.0
^IXIC,2015-01-02,4760.240234375,4777.009765625,4698.10986328125,4726.81005859375,4726.81005859375,1435150000.0
^FTSE,2015-01-02,6566.10009765625,6607.89990234375,6510.60009765625,6547.7998046875,6547.7998046875,367562200.0
^NSEI,2015-01-02,8288.7001953125,8410.599609375,8288.7001953125,8395.4501953125,8395.4501953125,101900.0
^BSESN,2015-01-02,27521.279296875,27937.470703125,27519.259765625,27887.900390625,27887.900390625,7400.0
^N100,2015-01-02,843.030029296875,845.97998046875,830.7999877929688,835.969970703125,835.969970703125,333050000.0
^DJI,2015-01-02,17823.0703125,17951.779296875,17731.30078125,17832.990234375,17832.990234375,76270000.0
^GSPC,2015-01-02,2058.89990234375,2072.360107421875,2046.0400390625,2058.199951171875,2058.199951171875,2708700000.0
GC=F,2015-01-02,1184.0,1194.5,1169.5,1186.0,1186.0,138.0
CL=F,2015-01-02,53.7599983215332,55.11000061035156,52.02999877929688,52.68999862670898,52.68999862670898,268708.0
^NYA,2015-01-05,10764.3701171875,10764.3701171875,10588.0498046875,10607.6796875,10607.6796875,3799120000.0
^IXIC,2015-01-05,4700.33984375,4702.77001953125,4641.4599609375,4652.56982421875,4652.56982421875,1794470000.0
^FTSE,2015-01-05,6547.7998046875,6576.7001953125,6404.5,6417.2001953125,6417.2001953125,728001100.0
^NSEI,2015-01-05,8407.9501953125,8445.599609375,8363.900390625,8378.400390625,8378.400390625,118200.0
^BSESN,2015-01-05,27978.4296875,28064.490234375,27786.849609375,27842.3203125,27842.3203125,9200.0
^N225,2015-01-05,17325.6796875,17540.919921875,17219.220703125,17408.7109375,17408.7109375,116500000.0
000001.SS,2015-01-05,3258.626953125,3369.281005859375,3253.883056640625,3350.51904296875,3350.51904296875,531400.0
^N100,2015-01-05,831.0900268554688,841.47998046875,810.8699951171875,811.7899780273438,811.7899780273438,698226400.0
^DJI,2015-01-05,17821.30078125,17821.30078125,17475.9296875,17501.650390625,17501.650390625,116160000.0
^GSPC,2015-01-05,2054.43994140625,2054.43994140625,2017.3399658203125,2020.5799560546875,2020.5799560546875,3799120000.0
GC=F,2015-01-05,1180.300048828125,1206.9000244140625,1180.0999755859375,1203.9000244140625,1203.9000244140625,470.0
CL=F,2015-01-05,52.61000061035156,52.72999954223633,49.68000030517578,50.040000915527344,50.040000915527344,375782.0
^NYA,2015-01-06,10610.7802734375,10647.2099609375,10457.8896484375,10514.8701171875,10514.8701171875,4460110000.0
^IXIC,2015-01-06,4666.85009765625,4667.330078125,4567.58984375,4592.740234375,4592.740234375,2167320000.0
^FTSE,2015-01-06,6417.2001953125,6452.7001953125,6328.60009765625,6366.5,6366.5,769463100.0
^NSEI,2015-01-06,8325.2998046875,8327.849609375,8111.35009765625,8127.35009765625,8127.35009765625,172800.0
^BSESN,2015-01-06,27694.23046875,27698.9296875,26937.060546875,26987.4609375,26987.4609375,14100.0
^N225,2015-01-06,17101.580078125,17111.359375,16881.73046875,16883.189453125,16883.189453125,166000000.0
000001.SS,2015-01-06,3330.799072265625,3394.22412109375,3303.18408203125,3351.446044921875,3351.446044921875,501700.0
^N100,2015-01-06,813.6099853515625,817.239990234375,803.6500244140625,805.469970703125,805.469970703125,577022100.0
^DJI,2015-01-06,17504.1796875,17581.05078125,17262.369140625,17371.640625,17371.640625,101870000.0
^GSPC,2015-01-06,2022.1500244140625,2030.25,1992.43994140625,2002.6099853515625,2002.6099853515625,4460110000.0
GC=F,2015-01-06,1203.5,1220.0,1203.5,1219.300048828125,1219.300048828125,97.0
CL=F,2015-01-06,50.0,50.369998931884766,47.54999923706055,47.93000030517578,47.93000030517578,451642.0
^NYA,2015-01-07,10514.48046875,10638.740234375,10514.48046875,10627.1298828125,10627.1298828125,3805480000.0
^IXIC,2015-01-07,4626.83984375,4652.72021484375,4613.89990234375,4650.47021484375,4650.47021484375,1957950000.0
^FTSE,2015-01-07,6366.5,6459.7001953125,6366.5,6419.7998046875,6419.7998046875,688211500.0
^NSEI,2015-01-07,8118.64990234375,8151.2001953125,8065.4501953125,8102.10009765625,8102.10009765625,164100.0
^BSESN,2015-01-07,26983.4296875,27051.599609375,26776.119140625,26908.8203125,26908.8203125,12200.0
^N225,2015-01-07,16808.259765625,16974.609375,16808.259765625,16885.330078125,16885.330078125,138600000.0
000001.SS,2015-01-07,3326.64892578125,3374.89599609375,3312.2109375,3373.9541015625,3373.9541015625,391900.0
^N100,2015-01-07,810.6500244140625,816.27001953125,805.280029296875,810.9400024414062,810.9400024414062,463361300.0
^DJI,2015-01-07,17374.779296875,17597.080078125,17374.779296875,17584.51953125,17584.51953125,91030000.0
^GSPC,2015-01-07,2005.550048828125,2029.6099853515625,2005.550048828125,2025.9000244140625,2025.9000244140625,3805480000.0
GC=F,2015-01-07,1219.199951171875,1219.199951171875,1210.5999755859375,1210.5999755859375,1210.5999755859375,29.0
CL=F,2015-01-07,48.0,49.310001373291016,46.83000183105469,48.650001525878906,48.650001525878906,460083.0
^NYA,2015-01-08,10686.0,10809.4599609375,10686.0,10800.5400390625,10800.5400390625,3934010000.0
^IXIC,2015-01-08,4689.5400390625,4741.3798828125,4688.02001953125,4736.18994140625,4736.18994140625,2105450000.0
^FTSE,2015-01-08,6419.7998046875,6580.7998046875,6419.7998046875,6570.0,6570.0,882740200.0
^NSEI,2015-01-08,8191.39990234375,8243.5,8167.2998046875,8234.599609375,8234.599609375,143800.0
^BSESN,2015-01-08,27178.76953125,27316.41015625,27101.939453125,27274.7109375,27274.7109375,8200.0
^N225,2015-01-08,17067.400390625,17243.7109375,17016.08984375,17167.099609375,17167.099609375,140600000.0
000001.SS,2015-01-08,3371.95703125,3381.56591796875,3285.094970703125,3293.4560546875,3293.4560546875,371100.0
^N100,2015-01-08,822.75,838.97998046875,820.5599975585938,837.72998046875,837.72998046875,514715400.0
^DJI,2015-01-08,17591.970703125,17916.0390625,17591.970703125,17907.869140625,17907.869140625,114890000.0
^GSPC,2015-01-08,2030.6099853515625,2064.080078125,2030.6099853515625,2062.139892578125,2062.139892578125,3934010000.0
GC=F,2015-01-08,1207.0,1215.699951171875,1206.300048828125,1208.4000244140625,1208.4000244140625,92.0
CL=F,2015-01-08,48.77999877929688,49.650001525878906,47.72999954223633,48.790000915527344,48.790000915527344,362081.0
^NYA,2015-01-09,10811.8203125,10811.8203125,10680.5302734375,10711.41015625,10711.41015625,3364140000.0
^IXIC,2015-01-09,4744.47021484375,4744.7099609375,4681.240234375,4704.06982421875,4704.06982421875,1715830000.0
^FTSE,2015-01-09,6570.0,6570.2001953125,6471.39990234375,6501.10009765625,6501.10009765625,738488500.0
^NSEI,2015-01-09,8285.4501953125,8303.2998046875,8190.7998046875,8284.5,8284.5,148000.0
^BSESN,2015-01-09,27404.189453125,27507.669921875,27119.630859375,27458.380859375,27458.380859375,11100.0
^N225,2015-01-09,17318.740234375,17342.650390625,17129.529296875,17197.73046875,17197.73046875,155200000.0
000001.SS,2015-01-09,3276.965087890625,3404.833984375,3267.509033203125,3285.412109375,3285.412109375,410200.0
^N100,2015-01-09,835.9099731445312,840.5900268554688,818.9500122070312,824.3900146484375,824.3900146484375,499788100.0
^DJI,2015-01-09,17911.01953125,17915.3203125,17686.08984375,17737.369140625,17737.369140625,93390000.0
^GSPC,2015-01-09,2063.449951171875,2064.429931640625,2038.3299560546875,2044.81005859375,2044.81005859375,3364140000.0
GC=F,2015-01-09,1211.0999755859375,1220.199951171875,1210.300048828125,1216.0,1216.0,43.0
CL=F,2015-01-09,48.91999816894531,49.61000061035156,47.15999984741211,48.36000061035156,48.36000061035156,421007.0
^NYA,2015-01-12,10712.650390625,10717.01953125,10597.400390625,10640.740234375,10640.740234375,3456460000.0
^IXIC,2015-01-12,4714.06982421875,4715.81005859375,4650.64990234375,4664.7099609375,4664.7099609375,1861960000.0
^FTSE,2015-01-12,6501.10009765625,6542.39990234375,6447.89990234375,6501.39990234375,6501.39990234375,602313100.0
^NSEI,2015-01-12,8291.349609375,8332.599609375,8245.599609375,8323.0,8323.0,103200.0
^BSESN,2015-01-12,27523.859375,27620.66015625,27323.740234375,27585.26953125,27585.26953125,7500.0
000001.SS,2015-01-12,3258.212890625,3275.18505859375,3191.58203125,3229.31591796875,3229.31591796875,322100.0
^N100,2015-01-12,827.469970703125,836.9500122070312,822.0900268554688,832.760009765625,832.760009765625,424327700.0
^DJI,2015-01-12,17742.05078125,17793.880859375,17571.580078125,17640.83984375,17640.83984375,92500000.0
^GSPC,2015-01-12,2046.1300048828125,2049.300048828125,2022.5799560546875,2028.260009765625,2028.260009765625,3456460000.0
GC=F,2015-01-12,1224.199951171875,1234.4000244140625,1219.0999755859375,1232.699951171875,1232.699951171875,100.0
CL=F,2015-01-12,48.18999862670898,48.18999862670898,45.619998931884766,46.06999969482422,46.06999969482422,394946.0
^NYA,2015-01-13,10640.740234375,10773.2802734375,10543.490234375,10622.9599609375,10622.9599609375,4107300000.0
^IXIC,2015-01-13,4708.740234375,4751.33984375,4624.27978515625,4661.5,4661.5,2162180000.0
^FTSE,2015-01-13,6501.39990234375,6558.7998046875,6465.2001953125,6542.2001953125,6542.2001953125,673572900.0
^NSEI,2015-01-13,8346.150390625,8356.650390625,8267.900390625,8299.400390625,8299.400390625,129600.0
^BSESN,2015-01-13,27611.560546875,27670.189453125,27324.580078125,27425.73046875,27425.73046875,7800.0
^N225,2015-01-13,16970.880859375,17087.7109375,16828.26953125,17087.7109375,17087.7109375,149200000.0
000001.SS,2015-01-13,3223.5419921875,3259.385986328125,3214.412109375,3235.301025390625,3235.301025390625,230700.0
^N100,2015-01-13,828.6699829101562,848.469970703125,827.5499877929688,845.2999877929688,845.2999877929688,435772700.0
^DJI,2015-01-13,17645.01953125,17923.009765625,17498.23046875,17613.6796875,17613.6796875,99360000.0
^GSPC,2015-01-13,2031.5799560546875,2056.929931640625,2008.25,2023.030029296875,2023.030029296875,4107300000.0
GC=F,2015-01-13,1239.199951171875,1239.300048828125,1230.300048828125,1234.300048828125,1234.300048828125,20.0
CL=F,2015-01-13,45.68999862670898,46.790000915527344,44.20000076293945,45.88999938964844,45.88999938964844,476541.0
^NYA,2015-01-14,10622.5703125,10622.5703125,10442.7998046875,10565.419921875,10565.419921875,4378680000.0
^IXIC,2015-01-14,4610.759765625,4655.3701171875,4595.97998046875,4639.31982421875,4639.31982421875,2073810000.0
^FTSE,2015-01-14,6542.2001953125,6542.2001953125,6353.7001953125,6388.5,6388.5,971256900.0
^NSEI,2015-01-14,8307.25,8326.4501953125,8236.650390625,8277.5498046875,8277.5498046875,146100.0
^BSESN,2015-01-14,27432.140625,27512.80078125,27203.25,27346.8203125,27346.8203125,10200.0
^N225,2015-01-14,16961.8203125,17036.720703125,16770.560546875,16795.9609375,16795.9609375,148500000.0
000001.SS,2015-01-14,3242.3369140625,3268.48291015625,3193.97802734375,3222.43701171875,3222.43701171875,240200.0
^N100,2015-01-14,834.4500122070312,847.969970703125,830.989990234375,833.75,833.75,592871300.0
^DJI,2015-01-14,17609.060546875,17609.060546875,17264.900390625,17427.08984375,17427.08984375,109180000.0
^GSPC,2015-01-14,2018.4000244140625,2018.4000244140625,1988.43994140625,2011.27001953125,2011.27001953125,4378680000.0
GC=F,2015-01-14,1229.5999755859375,1243.800048828125,1225.5999755859375,1234.4000244140625,1234.4000244140625,21.0
CL=F,2015-01-14,46.15999984741211,48.90999984741211,45.0099983215332,48.47999954223633,48.47999954223633,510252.0
^NYA,2015-01-15,10606.6298828125,10636.6796875,10511.0498046875,10514.599609375,10514.599609375,4276720000.0
^IXIC,2015-01-15,4657.4599609375,4663.9599609375,4567.39013671875,4570.81982421875,4570.81982421875,1976260000.0
^FTSE,2015-01-15,6388.5,6498.7998046875,6298.2001953125,6498.7998046875,6498.7998046875,980049600.0
^NSEI,2015-01-15,8424.5,8527.099609375,8380.5498046875,8494.150390625,8494.150390625,232100.0
^BSESN,2015-01-15,27831.16015625,28194.609375,27703.69921875,28075.55078125,28075.55078125,16700.0
^N225,2015-01-15,16872.94921875,17141.98046875,16856.220703125,17108.69921875,17108.69921875,147700000.0
